TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001228", "DNA-binding transcription activator activity, RNA polymerase II-specific", 2.46797703180212, 0.488193643936353, 6.53559404309881, 2.65127801399814, -70.2846098987908, 0.829385929851102, 0, null, False
"GO:0004879", "nuclear receptor activity", 0.287102473498233, null, null, 1.72427586960079, -4.29592866779959, 0.862474347533489, 0.49664097, 1228, True
"GO:0001227", "DNA-binding transcription repressor activity, RNA polymerase II-specific", 1.70605123674912, null, null, 2.49136169383427, -12.1501588633949, 0.835946428563459, 0.6105082, 1228, True
"GO:0001216", "DNA-binding transcription activator activity", 2.50110424028269, null, null, 2.6570558528571, -7.40887939457403, 0.830106720513934, 0.63136752, 1228, True
"GO:0000981", "DNA-binding transcription factor activity, RNA polymerase II-specific", 7.65790636042403, null, null, 3.14238946611884, -96.8927516127957, 0.808374415005066, 0.74561129, 1228, True
"GO:0003700", "DNA-binding transcription factor activity", 7.93396643109541, null, null, 3.15775888604686, -77.1372130015603, 0.827742233663795, 0.78534639, 1228, True
"GO:0008134", "transcription factor binding", 3.125, -5.44807499407177, 0.843373517778597, 2.75358305889291, -33.8856632641334, 0.984264168942241, 0, null, False
"GO:0070888", "E-box binding", 0.265017667844523, 6.14880657391982, -1.1131861220213, 1.69019608002851, -9.4910882537988, 0.758804396182836, 0.00239943, null, False
"GO:0000978", "RNA polymerase II cis-regulatory region sequence-specific DNA binding", 6.65304770318021, null, null, 3.08134730780413, -95.3000695906063, 0.655122097398515, 0.58113747, 70888, True
"GO:0043565", "sequence-specific DNA binding", 9.29770318021201, null, null, 3.22659990520736, -23.5739767303037, 0.702357124310017, 0.67308873, 70888, True
"GO:1990837", "sequence-specific double-stranded DNA binding", 8.7345406360424, null, null, 3.19948091486236, -54.9258822635147, 0.6572492129955, 0.83939271, 70888, True
"GO:0000987", "cis-regulatory region sequence-specific DNA binding", 6.76347173144876, null, null, 3.0884904701824, -13.9797981113297, 0.660065832771801, 0.84208537, 70888, True
"GO:0000976", "transcription cis-regulatory region binding", 8.42535335689046, null, null, 3.18383903705642, -36.6932784136989, 0.65013569678027, 0.87975251, 70888, True
"GO:0000977", "RNA polymerase II transcription regulatory region sequence-specific DNA binding", 7.90083922261484, null, null, 3.15594301797184, -18.7904182679105, 0.653015836364447, 0.90341521, 70888, True
"GO:0003682", "chromatin binding", 3.15812720848057, 3.21576929824749, 6.05083923039888, 2.75815462196739, -9.18715500252894, 0.995040643053409, 0.00325851, null, False
"GO:0008270", "zinc ion binding", 4.5881183745583, -4.44402082640646, 3.43049879485809, 2.92012332629072, -2.2876366664266, 0.99478037695597, 0.00344995, null, False
"GO:0071837", "HMG box domain binding", 0.0772968197879859, -0.087188494174175, 2.32105793265268, 1.17609125905568, -7.40887939457403, 0.989169042760203, 0.01179935, null, False
"GO:0070412", "R-SMAD binding", 0.126987632508834, -5.49990053524829, -1.93797433486158, 1.38021124171161, -4.49661881420479, 0.988694919307422, 0.01237734, null, False
"GO:0035035", "histone acetyltransferase binding", 0.138030035335689, -1.3421333900833, -6.7861050893212, 1.41497334797082, -5.34401111105904, 0.970310475985691, 0.01248001, null, False
"GO:0043425", "bHLH transcription factor binding", 0.149072438162544, -1.02613770547742, -1.62190395642613, 1.44715803134222, -8.95698167269846, 0.851952163610227, 0.01257631, null, False
"GO:0001223", "transcription coactivator binding", 0.176678445229682, null, null, 1.51851393987789, -3.4791154268737, 0.857638206181455, 0.52267594, 43425, True
"GO:0061629", "RNA polymerase II-specific DNA-binding transcription factor binding", 1.65636042402827, null, null, 2.47856649559384, -7.40887939457403, 0.823582586305937, 0.70543911, 43425, True
"GO:0016922", "nuclear receptor binding", 0.800574204946996, null, null, 2.16435285578444, -2.78179343010522, 0.832686091316782, 0.83825175, 43425, True
"GO:0140297", "DNA-binding transcription factor binding", 2.18087455830389, null, null, 2.59769518592551, -4.39998846612964, 0.828427810184424, 0.84719535, 43425, True
"GO:0046332", "SMAD binding", 0.436174911660777, -4.49486547208309, -4.67177440398208, 1.90308998699194, -2.07338476254018, 0.98731504968376, 0.01409329, null, False
"GO:0008013", "beta-catenin binding", 0.47482332155477, -2.38266020314721, 5.56280934770574, 1.93951925261862, -7.49853805471913, 0.987207689594771, 0.01422902, null, False
"GO:0046982", "protein heterodimerization activity", 1.67844522968198, 2.49778687933614, -7.41977359813773, 2.48429983934679, -6.62081133476417, 0.945032153102263, 0.01660775, null, False
"GO:0042803", "protein homodimerization activity", 3.74337455830389, null, null, 2.8318697742805, -2.47821726233886, 0.943605348341509, 0.7355771, 46982, True
"GO:0046983", "protein dimerization activity", 5.6481890459364, 5.95065229517908, 5.28767942161127, 3.01029995663981, -7.49853805471913, 0.983057245628931, 0.01978667, null, False
"GO:0019899", "enzyme binding", 11.2798144876325, 5.21321207373454, -6.75553026615973, 3.31048089146268, -2.05577213983881, 0.981434992926667, 0.02480998, null, False
"GO:0031490", "chromatin DNA binding", 0.563162544169611, 7.17200105051442, 0.141323058458098, 2.01283722470517, -6.95204341877588, 0.75821389990902, 0.3080311, null, False
"GO:1990841", "promoter-specific chromatin binding", 0.342314487632509, null, null, 1.79934054945358, -4.43499432479996, 0.961444330435836, 0.61641512, 31490, True
"GO:0003677", "DNA binding", 13.7477915194346, 6.82335233309069, -2.05743382657907, 3.39637372753651, -15.1548033313073, 0.765870861555773, 0.33047853, null, False
"GO:0042826", "histone deacetylase binding", 0.67910777385159, -0.762285335492059, -6.28188104885698, 2.09342168516224, -4.44750566021407, 0.968451441345953, 0.33444105, null, False
