TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001228", "DNA-binding transcription activator activity, RNA polymerase II-specific", 2.46797703180212, -5.60350334923407, 0.432695672283862, 2.65127801399814, -32.9904588293312, 0.800772319093183, 0, null, False
"GO:0004879", "nuclear receptor activity", 0.287102473498233, null, null, 1.72427586960079, -5.60346029385165, 0.840999327655409, 0.49664097, 1228, True
"GO:0003713", "transcription coactivator activity", 1.49624558303887, null, null, 2.4345689040342, -2.35450454794896, 0.827153124755079, 0.55518138, 1228, True
"GO:0001227", "DNA-binding transcription repressor activity, RNA polymerase II-specific", 1.70605123674912, null, null, 2.49136169383427, -13.7355155930143, 0.81108094406947, 0.6105082, 1228, True
"GO:0000981", "DNA-binding transcription factor activity, RNA polymerase II-specific", 7.65790636042403, null, null, 3.14238946611884, -81.1577806163511, 0.780609448556813, 0.744026, 1228, True
"GO:0003700", "DNA-binding transcription factor activity", 7.93396643109541, null, null, 3.15775888604686, -41.9341385100226, 0.797156238571316, 0.78534639, 1228, True
"GO:0008134", "transcription factor binding", 3.125, 4.88261214516092, 6.85058142977775, 2.75358305889291, -13.418041765183, 0.986288417173992, 0, null, False
"GO:0070888", "E-box binding", 0.265017667844523, 6.45401610635197, -0.252297675252074, 1.69019608002851, -8.61260519677929, 0.735801749659797, 0.00239943, null, False
"GO:0000978", "RNA polymerase II cis-regulatory region sequence-specific DNA binding", 6.65304770318021, null, null, 3.08134730780413, -80.4221001506502, 0.619714192482033, 0.58113747, 70888, True
"GO:0043565", "sequence-specific DNA binding", 9.29770318021201, null, null, 3.22659990520736, -14.5225804344372, 0.666441598376964, 0.67308873, 70888, True
"GO:1990837", "sequence-specific double-stranded DNA binding", 8.7345406360424, null, null, 3.19948091486236, -32.0322434415077, 0.618159840892777, 0.83939271, 70888, True
"GO:0000987", "cis-regulatory region sequence-specific DNA binding", 6.76347173144876, null, null, 3.0884904701824, -2.59779877999761, 0.62198348728044, 0.84208537, 70888, True
"GO:0000976", "transcription cis-regulatory region binding", 8.42535335689046, null, null, 3.18383903705642, -15.9296155767, 0.610824187352549, 0.87975251, 70888, True
"GO:0000977", "RNA polymerase II transcription regulatory region sequence-specific DNA binding", 7.90083922261484, null, null, 3.15594301797184, -10.9926126907153, 0.614067160450787, 0.90341521, 70888, True
"GO:0003682", "chromatin binding", 3.15812720848057, 1.69252292798443, -6.34570339649185, 2.75815462196739, -10.9583251544612, 0.99495988093179, 0.00325851, null, False
"GO:0008270", "zinc ion binding", 4.5881183745583, -2.17755790051692, 6.81427277132681, 2.92012332629072, -3.87032767042701, 0.962370750931694, 0.00344995, null, False
"GO:0046872", "metal ion binding", 23.4871908127208, null, null, 3.62889956442061, -2.35450454794896, 0.960716094061135, 0.47857463, 8270, True
"GO:0070742", "C2H2 zinc finger domain binding", 0.0828180212014134, 5.09910437537979, -5.61353556871761, 1.20411998265592, -2.87374616288041, 0.990535554637634, 0.01187643, null, False
"GO:0002039", "p53 binding", 0.364399293286219, 1.45220737771496, 7.46462106091791, 1.82607480270083, -3.87032767042701, 0.989159421415937, 0.01381424, null, False
"GO:0008013", "beta-catenin binding", 0.47482332155477, -1.95728434158075, -5.82196296580689, 1.93951925261862, -2.99052251667741, 0.988870727059619, 0.01422902, null, False
"GO:0042826", "histone deacetylase binding", 0.67910777385159, -4.92030706813027, 3.94988308316192, 2.09342168516224, -2.87180445251865, 0.988455513002264, 0.01483102, null, False
"GO:0061629", "RNA polymerase II-specific DNA-binding transcription factor binding", 1.65636042402827, -0.650173737125626, 2.96957095541934, 2.47856649559384, -6.14031271246581, 0.839754878594033, 0.01657868, null, False
"GO:0043425", "bHLH transcription factor binding", 0.149072438162544, null, null, 1.44715803134222, -3.41652827240496, 0.862229268587949, 0.70543911, 61629, True
"GO:0030331", "estrogen receptor binding", 0.22636925795053, null, null, 1.6232492903979, -5.44068731269928, 0.855059748948667, 0.73435461, 61629, True
"GO:0016922", "nuclear receptor binding", 0.800574204946996, null, null, 2.16435285578444, -3.87032767042701, 0.843145221567979, 0.83825175, 61629, True
"GO:0019899", "enzyme binding", 11.2798144876325, -0.558505082886505, -1.92697429593762, 3.31048089146268, -7.34023722135138, 0.983831821139171, 0.02220988, null, False
"GO:0046983", "protein dimerization activity", 5.6481890459364, -4.79615527099956, -3.05671905573789, 3.01029995663981, -7.1860537164173, 0.985234230299277, 0.02480998, null, False
"GO:0031490", "chromatin DNA binding", 0.563162544169611, 6.10769601020514, 1.16203903902682, 2.01283722470517, -7.33851912369862, 0.764786359274578, 0.3080311, null, False
"GO:0003677", "DNA binding", 13.7477915194346, 7.08813099346677, 1.61798994104444, 3.39637372753651, -9.30898003560279, 0.736020889988075, 0.33047853, null, False
"GO:0001046", "core promoter sequence-specific DNA binding", 0.231890459363958, 7.28310398004179, 0.0724109231710827, 1.63346845557959, -2.64187735335187, 0.742518416390058, 0.37758794, null, False
